address,ml_risk,diagnostic_risk,decline_trend_label,signal,n_years_data,ll97_penalty_2024,ll97_penalty_2030,eui,energy_star,dob_jobs,cluster_name,cluster_risk,uncertain_reason
415 E 68 ST,0.992,High,accelerating,big_drop,3,4273179,5040190,,,0,Pre-War Active — Permit-Driven Churn,High,
17 WEST 54TH STREET,0.991,High,stable,big_drop,2,164766,322484,,91,2,Pre-War Active — Permit-Driven Churn,High,
115 EAST 57 STREET,0.99,High,accelerating,big_drop,3,0,319041,30.7,97,3,Low-Compliance Commercial — Quiet Attrition,High,
200  EAST  42ND  ST.,0.989,High,decelerating,big_drop,3,785751,1190650,54.7,77,3,Low-Compliance Commercial — Quiet Attrition,High,
165 WEST END AVE.,0.989,Uncertain,stable,big_drop,1,0,155200,,94,0,Pre-War Active — Permit-Driven Churn,High,Insufficient data: only 1 year(s) of steam data
660 MADISON AVE.,0.989,High,accelerating,big_drop,3,71464,583822,,79,0,Pre-War Active — Permit-Driven Churn,High,
18 E 50TH STREET,0.986,High,accelerating,big_drop,3,0,48538,21.8,68,4,Pre-War Stable — Low Signal,Low,
57 EAST 57TH STREET,0.984,High,stable,big_drop,2,0,73626,,97,0,Pre-War Active — Permit-Driven Churn,High,
222 EAST 59TH STREET,0.984,High,accelerating,big_drop,3,0,0,16.2,93,0,Pre-War Stable — Low Signal,Low,
5 EAST 59TH STREET,0.983,Uncertain,stable,big_drop,1,0,0,,,3,Pre-War Stable — Low Signal,Low,Insufficient data: only 1 year(s) of steam data
75 COLUMBIA STREET,0.983,High,decelerating,big_drop,3,210940,1176629,,20,0,Mid-Size Post-War — Moderate Signal,Medium,
331 E. 29TH ST,0.982,High,stable,big_drop,2,0,104817,,94,0,Pre-War Active — Permit-Driven Churn,High,
204 2ND AVE,0.981,High,accelerating,big_drop,3,753695,1000497,,,0,Pre-War Active — Permit-Driven Churn,High,
31 W 34 ST,0.981,High,stable,big_drop,2,16987675,17277958,4.1,73,0,Pre-War Active — Permit-Driven Churn,High,
58 WEST 58TH STREET,0.98,High,accelerating,big_drop,3,0,160254,14.6,96,4,Pre-War Active — Permit-Driven Churn,High,
215 EAST 58TH STREET,0.979,High,accelerating,big_drop,3,0,0,0.2,87,1,Pre-War Stable — Low Signal,Low,
866 UN PLAZA,0.978,High,accelerating,big_drop,3,0,752325,276.8,79,5,Pre-War Active — Permit-Driven Churn,High,
